,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Total Cases/1 Million population,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Kenya,238852,1001,4757,11,226037,1155,8058,135,4331,86,2397923,43478,Africa
Qatar,233280,193,602,0,230168,204,2510,24,83083,214,2520811,897787,Asia
Mongolia,224989,3638,951,3,198230,2554,25808,192,67363,285,3647780,1092172,Asia
Bosnia and Herzegovina,216124,811,9862,15,192218,0,14044,0,66359,3028,1148516,352640,Europe
Zambia,206884,179,3611,3,201643,136,1630,99,10898,190,2296436,120969,Africa
Algeria,196915,0,5339,0,134073,0,57503,42,4398,119,230861,5156,Africa
Nigeria,193644,0,2488,0,179294,0,11862,11,913,12,2779725,13106,Africa
North Macedonia,178159,0,5987,0,157294,0,14878,0,85519,2874,1169901,561568,Europe
Kyrgyzstan,176193,175,2541,5,170261,92,3391,131,26496,382,1653459,248645,Asia
Norway,164209,845,822,0,88952,0,74435,13,30015,150,7316424,1337356,Europe
Botswana,159317,0,2276,0,151895,0,5146,1,66188,946,1647822,684589,Africa
Uzbekistan,158561,689,1099,6,150350,583,7112,23,4659,32,1377915,40484,Asia
Afghanistan,153395,20,7128,1,111300,19,34967,1124,3840,178,752334,18832,Asia
Albania,148222,0,2505,0,134802,0,10915,3,51571,872,1065326,370662,Europe
Mozambique,147066,0,1871,0,135431,0,9764,32,4557,58,856306,26531,Africa
Latvia,143800,354,2584,4,138216,132,3000,27,77239,1388,3622175,1945573,Europe
Estonia,143181,346,1296,1,134687,324,7198,15,107851,976,1767881,1331658,Europe
Finland,129105,561,1030,0,46000,0,82075,21,23259,186,6653352,1198630,Europe
Namibia,125313,107,3399,5,119746,36,2168,22,48297,1310,664093,255951,Africa
Zimbabwe,125118,0,4449,0,114197,0,6472,12,8277,294,1279037,84617,Africa
Ghana,120452,449,1052,5,112460,361,6940,60,3784,33,1634485,51351,Africa
Uganda,120377,169,3038,7,95590,0,21749,438,2538,64,1590019,33529,Africa
Montenegro,116533,0,1733,0,106417,0,8383,11,185515,2759,627589,999093,Europe
Cyprus,114366,0,508,0,90755,0,23103,58,93924,417,9366973,7692740,Asia
El Salvador,96067,0,2944,10,81339,0,11784,133,14724,451,1221446,187209,North America
China,94954,28,4636,0,89383,70,935,2,66,3,160000000,111163,Asia
Cambodia,94417,491,1937,9,89897,397,2583,0,5557,114,2124233,125034,Asia
Rwanda,88682,0,1105,0,45329,0,42248,35,6655,83,2473190,185585,Africa
Cameroon,84210,0,1357,0,80433,0,2420,152,3083,50,1751774,64130,Africa
Maldives,81474,0,226,0,79340,0,1908,18,147690,410,1358065,2461792,Asia
Luxembourg,75981,0,830,0,74098,0,1053,8,119117,1301,3428094,5374292,Europe
Senegal,73047,70,1785,5,63092,322,8170,32,4233,103,747701,43325,Africa
Jamaica,69054,0,1568,0,48493,0,18993,48,23201,527,550980,185123,North America
Singapore,68210,219,55,0,66312,0,1843,5,11553,9,17773017,3010260,Asia
Malawi,60663,0,2195,0,48566,0,9902,285,3078,111,388767,19728,Africa
Australia,58206,1641,1032,13,33571,0,23603,125,2252,40,32228090,1246945,Australia/Oceania
Ivory Coast,56521,0,451,0,54154,0,1916,0,2083,17,888751,32747,Africa
DRC,55146,0,1059,0,30858,0,23229,0,595,11,306299,3303,Africa
Réunion,50346,0,342,0,47752,0,2252,33,55767,379,173764,192476,Africa
Guadeloupe,49381,0,539,0,2250,0,46592,23,123390,1347,398899,996739,North America
Angola,48004,0,1235,0,43739,0,3030,8,1410,36,830836,24396,Africa
Fiji,47509,253,508,3,30332,163,16669,39,52552,562,379427,419701,Australia/Oceania
Trinidad and Tobago,45061,0,1311,0,39700,0,4050,22,32077,933,313137,222906,North America
Eswatini,43857,0,1129,0,36148,0,6580,10,37350,962,319795,272350,Africa
Madagascar,42878,2,956,0,41302,4,620,7,1503,34,245396,8604,Africa
French Polynesia,40178,0,463,0,33500,0,6215,58,142069,1637,26355,93191,Australia/Oceania
Sudan,37715,0,2837,0,31675,0,3203,0,837,63,238579,5297,Africa
Martinique,37192,0,442,0,104,0,36646,1,99199,1179,335215,894088,North America
Malta,36364,42,441,0,34836,55,1087,2,82101,996,1201506,2712699,Europe
Cabo Verde,35624,0,314,0,34455,0,855,23,63270,558,208220,369811,Africa
French Guiana,35528,0,221,0,9995,0,25312,25,115462,718,366845,1192201,South America
Mauritania,33869,0,724,0,31007,0,2138,16,7068,151,446383,93150,Africa
Suriname,29921,0,730,0,24598,0,4593,16,50476,1231,105437,177870,South America
Guinea,29605,0,341,0,27405,0,1859,24,2185,25,537846,39700,Africa
Syria,28174,0,2023,0,22510,0,3641,0,1566,112,103566,5755,Asia
Guyana,25951,0,632,0,23338,0,1981,34,32808,799,271365,343069,South America
Gabon,25888,0,166,0,25625,0,97,11,11320,73,1085170,474502,Africa
Togo,21785,0,187,0,17079,0,4519,0,2561,22,466510,54852,Africa
Haiti,20977,15,586,0,18294,72,2097,0,1814,51,110525,9557,North America
Seychelles,20144,0,105,0,19500,0,539,0,203354,1060,21504,217083,Africa
Mayotte,19852,0,175,0,2964,0,16713,1,70776,624,176919,630752,Africa
Bahamas,18576,0,412,0,14819,0,3345,15,46716,1036,135009,339528,North America
Papua New Guinea,17926,0,192,0,17547,0,187,7,1960,21,150870,16498,Australia/Oceania
Somalia,17630,0,992,0,8604,0,8034,0,1074,60,202806,12359,Africa
Timor-Leste,17379,196,74,0,12876,251,4429,0,12895,55,169501,125766,Asia
Tajikistan,16913,29,124,0,16776,34,13,0,1728,13,0,0,Asia
Belize,16612,0,362,0,15083,0,1167,3,40911,892,224827,553689,North America
Taiwan,16012,6,837,0,14996,36,179,0,671,35,5138814,215308,Asia
Benin,15932,0,131,0,11098,0,4703,5,1275,10,604310,48371,Africa
Laos,15605,146,15,1,5463,45,10127,0,2109,2,387691,52399,Asia
Curaçao,15379,0,147,0,14853,0,379,4,93275,892,242017,1467855,North America
Andorra,15055,3,130,0,14874,7,51,4,194484,1679,193595,2500904,Europe
Mali,14909,0,539,0,14114,0,256,0,712,26,385369,18412,Africa
Aruba,14719,0,148,0,13984,0,587,14,137181,1379,177885,1657890,North America
Lesotho,14395,0,403,0,6830,0,7162,0,6658,186,146630,67818,Africa
Burkina Faso,13816,18,171,0,13545,10,100,0,640,8,211719,9815,Africa
Congo,13588,0,183,0,12421,0,984,0,2394,32,188207,33156,Africa
Burundi,12585,0,38,0,773,0,11774,0,1023,3,345742,28102,Africa
Hong Kong,12114,0,212,0,11798,0,104,0,1601,28,23570776,3114489,Asia
Djibouti,11765,0,157,0,11563,0,45,0,11709,156,207669,206681,Africa
Nicaragua,11735,0,200,0,4225,0,7310,0,1747,30,0,0,North America
South Sudan,11446,0,120,0,10948,0,378,0,1009,11,212924,18765,Africa
CAR,11296,0,100,0,6859,0,4337,2,2292,20,60228,12222,Africa
Iceland,10956,44,33,0,10147,84,776,10,31864,96,988409,2874678,Europe
Channel Islands,10689,0,95,0,10190,0,404,0,60824,541,832867,4739281,Europe
Mauritius,10676,0,31,0,1854,0,8791,0,8378,24,358675,281482,Africa
Gambia,9736,21,323,1,9345,30,68,3,3901,129,101817,40796,Africa
Equatorial Guinea,9477,0,126,0,8879,0,472,1,6506,87,195087,133931,Africa
Saint Lucia,8542,0,108,0,6376,0,2058,4,46271,585,70346,381054,North America
Yemen,8018,67,1513,27,4937,29,1568,23,262,49,263935,8628,Asia
Isle of Man,6741,0,38,0,6394,0,309,1,78788,444,83753,978892,Europe
Eritrea,6642,0,38,0,6594,0,10,0,1843,11,23693,6575,Africa
Sierra Leone,6369,0,121,0,4361,0,1887,0,780,15,160729,19682,Africa
Niger,5863,0,199,0,5561,0,103,0,232,8,144020,5709,Africa
Guinea-Bissau,5854,0,120,0,4874,0,860,4,2895,59,92486,45735,Africa
Liberia,5459,0,148,0,2715,0,2596,2,1051,28,128246,24680,Africa
